id,dimension,measure,indicator,subset_if_diff,figure  ,title,tool_tip_desc,numerator,num_source,denominator,den_source,include_source,Notes,,
1052,Health and Social Needs,Birth Risks,Birth to Teenage Mother,,4,Birth to Teenage Mother by Race and Ethnicity Over Time,Children born to mothers under the age of 20 at time of birth by race and ethnicity over time.,Number of mothers under the age 20 at time of birth by race and ethnicity.,VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1053,Health and Social Needs,Birth Risks,Birth to Unmarried Mother,,1,Birth to Unmarried Mother,Children born to mothers who were not married at time of birth.,Number of children born to mothers who were not married at the time of the child's birth.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1054,Health and Social Needs,Birth Risks,Birth to Unmarried Mother,,2,Birth to Unmarried Mother Over Time,Children born to mothers who were not married at time of birth over time.,Number of children born to mothers who were not married at the time of the child's birth.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1055,Health and Social Needs,Birth Risks,Birth to Unmarried Mother,,3,Birth to Unmarried Mother by Race and Ethnicity,Children born to mothers who were not married at time of birth by race and ethnicity.,"Number of children born to mothers who were not married at the time of the child's birth, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1056,Health and Social Needs,Birth Risks,Birth to Unmarried Mother,,4,Birth to Unmarried Mother by Race and Ethnicity Over Time,Children born to mothers who were not married at time of birth by race and ethnicity over time.,"Number of children born to mothers who were not married at the time of the child's birth, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1057,Health and Social Needs,Birth Risks,Birth to First Time Mother,,1,First Time Mother,Children born to mothers who never previously gave birth.,Number of children born to mothers who never previously gave birth.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1058,Health and Social Needs,Birth Risks,Birth to First Time Mother,,2,First Time Mother Over Time,Children born to mothers who never previously gave birth.,Number of children born to mothers who never previously gave birth.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1059,Health and Social Needs,Birth Risks,Birth to First Time Mother,,3,First Time Mother by Race and Ethnicity,Children born to mothers who never previously gave birth by race and ethnicity.,"Number of children born to mothers who never previously gave birth, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1060,Health and Social Needs,Birth Risks,Birth to First Time Mother,,4,First Time Mother by Race and Ethnicity Over Time,Children born to mothers who had never previously given birth by race and ethnicity over time.,"Number of children born to mothers who never previously gave birth, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1061,Health and Social Needs,Birth Risks,Inadequate Prenatal Care,,1,Inadequate Prenatal Care,Children born to mothers who received no prenatal care during the first trimester or who had fewer than four prenatal visits in total.,Number of children born to mothers who received no prenatal care during the first trimester or who had fewer than four prenatal visits in total.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1062,Health and Social Needs,Birth Risks,Inadequate Prenatal Care,,2,Inadequate Prenatal Care Over Time,Children born to mothers who received no prenatal care during the first trimester or who had fewer than four prenatal visits in total over time.,Number of children born to mothers who received no prenatal care during the first trimester or who had fewer than four prenatal visits in total.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1063,Health and Social Needs,Birth Risks,Inadequate Prenatal Care,,3,Inadequate Prenatal Care by Race and Ethnicity,Children born to mothers who received no prenatal care during the first trimester or who had fewer than four prenatal visits in total by race and ethnicity.,"Number of children born to mothers who received no prenatal care during the first trimester or who had fewer than four prenatal visits in total, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1064,Health and Social Needs,Birth Risks,Inadequate Prenatal Care,,4,Inadequate Prenatal Care by Race and Ethnicity Over Time,Children born to mothers who received no prenatal care during the first trimester or who had fewer than four prenatal visits in total by race and ethnicity over time.,"Number of children born to mothers who received no prenatal care during the first trimester or who had fewer than four prenatal visits in total, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1065,Health and Social Needs,Birth Risks,Preterm or Low Birth Weight,,1,Preterm or Low Birth Weight,Children born weighing less than 2500 grams or prior to 37 weeks gestation.,Number of children born weighing less than 2500 grams or prior to 37 weeks gestation.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1066,Health and Social Needs,Birth Risks,Preterm or Low Birth Weight,,2,Preterm or Low Birth Weight Over Time,Children born weighing less than 2500 grams or prior to 37 weeks gestation over time.,Number of children born weighing less than 2500 grams or prior to 37 weeks gestation.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1067,Health and Social Needs,Birth Risks,Preterm or Low Birth Weight,,3,Preterm or Low Birth Weight by Race and Ethnicity,Children born weighing less than 2500 grams or prior to 37 weeks gestation by race and ethnicity.,Number of children born weighing less than 2500 grams or prior to 37 weeks gestation by race and ethnicity.,VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1068,Health and Social Needs,Birth Risks,Preterm or Low Birth Weight,,4,Preterm or Low Birth Weight by Race and Ethnicity Over Time,Children born weighing less than 2500 grams or prior to 37 weeks gestation by race and ethnicity over time.,Number of children born weighing less than 2500 grams or prior to 37 weeks gestation by race and ethnicity.,VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1069,Health and Social Needs,Birth Risks,Prenatal Tobacco Exposure,,1,Prenatal Tobacco Exposure,Children born to mothers who used tobacco in the three months prior to pregnancy or at any time during pregnancy.,Number of children born to mothers who reported using tobacco in the three months prior to pregnancy or at any time during pregnancy.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1070,Health and Social Needs,Birth Risks,Prenatal Tobacco Exposure,,2,Prenatal Tobacco Exposure Over Time,Children born to mothers who used tobacco in the three months prior to pregnancy or at any time during pregnancy over time.,Number of children born to mothers who reported using tobacco in the three months prior to pregnancy or at any time during pregnancy.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1071,Health and Social Needs,Birth Risks,Prenatal Tobacco Exposure,,3,Prenatal Tobacco Exposure by Race and Ethnicity,Children born to mothers who used tobacco in the three months prior to pregnancy or at any time during pregnancy by race and ethnicity.,"Number of children born to mothers who reported using tobacco in the three months prior to pregnancy or at any time during pregnancy, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1072,Health and Social Needs,Birth Risks,Prenatal Tobacco Exposure,,4,Prenatal Tobacco Exposure by Race and Ethnicity Over Time,Children born to mothers who used tobacco in the three months prior to pregnancy or at any time during pregnancy by race and ethnicity over time.,"Number of children born to mothers who reported using tobacco in the three months prior to pregnancy or at any time during pregnancy, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1073,Health and Social Needs,Birth Risks,Low Maternal Education at Birth,,1,Low Maternal Education at Birth,Children born to mothers over the age of 19 with less than a high school degree.,Number of children born to mothers over the age of 19 with less than a high school degree.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1074,Health and Social Needs,Birth Risks,Low Maternal Education at Birth,,2,Low Maternal Education at Birth Over Time,Children born to mothers over the age of 19 with less than a high school degree over time.,Number of children born to mothers over the age of 19 with less than a high school degree.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1075,Health and Social Needs,Birth Risks,Low Maternal Education at Birth,,3,Low Maternal Education at Birth by Race and Ethnicity,Children born to mothers over the age of 19 with less than a high school degree by race and ethnicity.,"Number of children born to mothers over the age of 19 with less than a high school degree, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1076,Health and Social Needs,Birth Risks,Low Maternal Education at Birth,,4,Low Maternal Education at Birth by Race and Ethnicity Over Time,Children born to mothers over the age of 19 with less than a high school degree by race and ethnicity over time.,"Number of children born to mothers over the age of 19 with less than a high school degree, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1077,Health and Social Needs,Birth Risks,Medicaid or WIC Receipt at Birth,,1,Medicaid or WIC Receipt at Birth,Children born to mothers who received Medicaid or WIC at the time of the child's birth.,Number of children born to mothers who received Medicaid or WIC at time of child's birth.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1078,Health and Social Needs,Birth Risks,Medicaid or WIC Receipt at Birth,,2,Medicaid or WIC Receipt at Birth Over Time,Children born to mothers who received Medicaid or WIC at the time of the child's birth over time.,Number of children born to mothers who received Medicaid or WIC at time of child's birth.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1079,Health and Social Needs,Birth Risks,Medicaid or WIC Receipt at Birth,,3,Medicaid or WIC Receipt at Birth by Race and Ethnicity,Children born to mothers who received Medicaid or WIC at the time of the child's birth by the mother's race and ethnicity.,"Number of children born to mothers who received Medicaid or WIC at time of child's birth, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1080,Health and Social Needs,Birth Risks,Medicaid or WIC Receipt at Birth,,4,Medicaid or WIC Receipt at Birth by Race and Ethnicity Over Time,Children born to mothers who received Medicaid or WIC at the time of the child's birth over time by the mother's race and ethnicity.,"Number of children born to mothers who received Medicaid or WIC at time of child's birth, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1081,Health and Social Needs,Birth Risks,Cumulative Birth Risks,,1,Cumulative Birth Risks,Births by number of risk factors.,Number of births by number of risk factors.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1082,Health and Social Needs,Birth Risks,Cumulative Birth Risks,,2,Cumulative Birth Risks Over Time,Births by number of risk factors over time.,Number of births by number of risk factors.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1083,Health and Social Needs,Birth Risks,Cumulative Birth Risks,,3,Cumulative Birth Risks by Race and Ethnicity,Births by number of risk factors and race and ethnicity.,Number of births by number of risk factors and race and ethnicity.,VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1084,Health and Social Needs,Birth Risks,Cumulative Birth Risks,,4,Cumulative Birth Risks by Race and Ethnicity Over Time,Births by number of risk factors and race and ethnicity over time.,Number of births by number of risk factors and race and ethnicity.,VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1085,Health and Social Needs,Birth Risks,Cumulative Birth Risks,,5,Cumulative Birth Risks by Race and Ethnicity,Birth risks by race and ethnicity.,Number of births by cumulative birth risk and race and ethnicity.,VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1086,Health and Social Needs,Birth Risks,Cumulative Birth Risks,,6,Statewide Cumulative Birth Risks,Birth risks by cumulative number of birth risks.,Number of births by cumulative birth risk.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1087,Health and Social Needs,Child Health,Immunizations,,1,Immunization Rate for 2-year-old Children,2-year-old children who have received the recommended vaccinations.,Number of 2-year-old children who received the recommended vaccinations by age 24 months.,IA DOEd,Total number of 2-year-old children with a record in the Immunization Registry Information System (IRIS).,IA DOEd,,,,
1088,Health and Social Needs,Child Health,Immunizations,,2,Immunization Rate for 2-year-old Children Over Time,2-year-old children who have received the recommended vaccinations over time.,Number of 2-year-old children who received the recommended vaccinations by age 24 months.,IA DOEd,Total number of 2-year-old children with a record in the Immunization Registry Information System (IRIS).,IA DOEd,,,,
1089,Health and Social Needs,Child Health,Immunizations,,1,Immunization Rate for Children in Child Care,Children enrolled in childcare who have a certificate of immunization.,Number of children enrolled in child care with a certificate of immunization.,IA DOEd,Total number of children enrolled in child care.,IA DOEd,,,,
1090,Health and Social Needs,Child Health,Immunizations,,2,Immunization Rate for Children in Child Care Over Time,Children enrolled in childcare who have a certificate of immunization over time.,Number of children enrolled in child care with a certificate of immunization.,IA DOEd,Total number of children enrolled in child care.,IA DOEd,,,,
1091,Health and Social Needs,Child Health,Immunizations,,1,Immunization Rate for School Age Children,Children enrolled in school who have a certificate of immunization.,Number of students with a certificate of immunization.,IA DOEd,Total number of students enrolled in school.,IA DOEd,,,,
1092,Health and Social Needs,Child Health,Immunizations,,2,Immunization Rate for School Age Children Over Time,Children enrolled in school who have a certificate of immunization over time.,Number of students with a certificate of immunization.,IA DOEd,Total number of students enrolled in school.,IA DOEd,,,,
1093,Health and Social Needs,Child Health,Immunizations,,3,Immunization Rate by Age Group,Vaccinated children by age group.,Number of immunized children by group.,IA DOEd,Total number of children by group.,IA DOEd,,,,
1094,Health and Social Needs,Child Health,Child Abuse or Neglect,,1,"Child Abuse or Neglect (per 1,000 children)","Rate of children who are victims of confirmed/founded abuse or neglect per 1,000 children by age group.",Number confirmed/founded abuse or neglect victims by age.,IA HHS,"Total number of children divided by 1,000, by age group.",ACS,x,,,
1095,Health and Social Needs,Child Health,Child Abuse or Neglect,,2,"Child Abuse or Neglect (per 1,000 children) Over Time","Rate of children who are victims of confirmed/founded abuse or neglect per 1,000 children by age group over time.",Number confirmed/founded abuse or neglect victims by age.,IA HHS,"Total number of children divided by 1,000, by age group.",ACS,x,,,
1096,Health and Social Needs,Child Health,Child Abuse or Neglect,,3,Neglect vs All Other Case Types,Child victims of confirmed/founded abuse or neglect by abuse type.,Number of child victims of confirmed/founded abuse by abuse type.,IA HHS,Total number of child victims of confirmed/founded abuse.,IA HHS,,,,
