ID,dimension,measure,indicator,source,data ,min_year,max_year,date_obtained,Link,notes
5017,Demographic,Household Characteristics,Technology Access,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B28008,2018,2024,01/29/26,https://data.census.gov/ ,
5018,Demographic,Household Characteristics,Technology Access,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B28008,2018,2024,01/29/26,https://data.census.gov/ ,
5019,Health and Social Needs,Child Health,Immunizations,Iowa Department of Public Health,Number of Children with Certificate of Immunization,2018,2024,09/29/25,https://hhs.iowa.gov/health-prevention/vaccines-immunizations,
5020,Health and Social Needs,Child Health,Child Abuse or Neglect,Iowa Department of Health and Human Services Child Protective Services,Child Abuse Statistics,2018,2023,09/29/25,https://hhs.iowa.gov/programs/CPS/child-abuse-statistics,
5021,Health and Social Needs,Child Health,Child Abuse or Neglect,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B09001,2018,2023,01/29/26,https://data.census.gov/ ,
5022,Health and Social Needs,Disabilities,Disabilities,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B18101,2018,2024,01/29/26,https://data.census.gov/ ,
5023,Health and Social Needs,Disabilities,Disabilities,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B18102,2018,2024,01/29/26,https://data.census.gov/ ,
5024,Health and Social Needs,Disabilities,Disabilities,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B18103,2018,2024,01/29/26,https://data.census.gov/ ,
5025,Health and Social Needs,Disabilities,Disabilities,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Tables B18101A-I,2018,2024,01/29/26,https://data.census.gov/ ,
5026,Health and Social Needs,Education,School Enrollment,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B14003,2018,2024,01/29/26,https://data.census.gov/ ,
5028,Health and Social Needs,Education,Early Literacy Skills,Iowa Department of Education,"Early Literacy Fall Screening Data, Panorama Student Success",2017,2025,01/30/26,https://hhs.iowa.gov/initiatives/eci,
5029,Health and Social Needs,Education,Dropout Rate,Iowa Department of Education,Grades 7-12 Dropout by Subgroup,2017,2024,10/20/25,https://educate.iowa.gov/pk-12/data/education-statistics/graduation-dropout-rates,
5030,Health and Social Needs,Community Crime,Serious Crime,Iowa Department of Public Safety,Iowa Uniform Crime Reporting System,2018,2024,10/31/25,https://icrime.dps.state.ia.us/CrimeInIowa,
5031,Health and Social Needs,Community Crime,Alcohol and Drug-Related Crime,Iowa Department of Public Safety,Iowa Uniform Crime Reporting System,2018,2024,11/03/25,https://icrime.dps.state.ia.us/CrimeInIowa,
5032,Health and Social Needs,Community Crime,Arrest,Iowa Department of Public Safety,Iowa Uniform Crime Reporting System,2018,2024,11/05/25,https://icrime.dps.state.ia.us/CrimeInIowa,
5033,Health and Social Needs,Community Crime,Arrest,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table S0101,2018,2024,01/29/26,https://data.census.gov/ ,
5034,Health and Social Needs,Community Crime,Domestic Violence,Iowa Department of Public Safety,Iowa Uniform Crime Reporting System,2018,2024,11/05/25,https://icrime.dps.state.ia.us/CrimeInIowa,
5035,Health and Social Needs,Community Crime,Domestic Violence,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table S0101,2018,2024,01/29/26,https://https://data.census.gov/,
5036,Health and Social Needs,Community Crime,Domestic Violence,Iowa Department of Public Safety,Iowa Uniform Crime Reporting System,2018,2024,11/05/25,https://icrime.dps.state.ia.us/CrimeInIowa,
5037,Services,Human Services,Availability of Child Care,Iowa Department of Health and Human Services,HHS DCPDMAST Report,2007,2025,12/06/23,https://hhs.iowa.gov/about/open-records,
5038,Services,Human Services,SNAP,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B22002,2018,2024,01/29/26,https://data.census.gov/ ,
5039,Services,Human Services,WIC,Iowa Department of Health and Human Services,Number of Children Receiving WIC Benefits by Age Group,2018,2024,01/22/26,https://hhs.iowa.gov/about/open-records,
5040,Services,Human Services,Dental Services,Iowa Department of Health and Human Services,Iowa Public Health Tracking Portal,2010,2024,10/07/24,https://hhs.iowa.gov/about/data-reports/health-disease/oral-health/child-dental-services-medicaid-data,
5041,Services,Human Services,Health Coverage,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B27001,2018,2024,01/29/26,https://data.census.gov/ ,
5042,Services,Human Services,Health Coverage,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B27016,2018,2024,01/29/26,https://data.census.gov/ ,
5043,Services,Human Services,Foster Care,Iowa Department of Health and Human Services,Number of Children in Foster Care by Age Group,2018,2024,01/23/26,https://hhs.iowa.gov/about/open-records,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
