id,dimension,measure,indicator,source,data,min_year,max_year,date_obtained,link,notes
SRV.SER.DNT,Services,Human Services,Dental Services,Iowa Department of Health and Human Services,Iowa Public Health Tracking Portal,2010,2024,2024-10-07,https://hhs.iowa.gov/about/data-reports/health-disease/oral-health/child-dental-services-medicaid-data,NA
HSN.DIS.CDS,Health and Social Needs,Disabilities,Disabilities,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B18101,2018,2024,2026-01-29,https://data.census.gov/,NA
HSN.DIS.CDS,Health and Social Needs,Disabilities,Disabilities,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B18102,2018,2024,2026-01-29,https://data.census.gov/,NA
HSN.DIS.CDS,Health and Social Needs,Disabilities,Disabilities,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B18103,2018,2024,2026-01-29,https://data.census.gov/,NA
HSN.DIS.CDS,Health and Social Needs,Disabilities,Disabilities,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Tables B18101A-I,2018,2024,2026-01-29,https://data.census.gov/,NA
HSN.CRM.DMV,Health and Social Needs,Community Crime,Domestic Violence,Iowa Department of Public Safety,Iowa Uniform Crime Reporting System,2018,2024,2025-11-05,https://icrime.dps.state.ia.us/CrimeInIowa,NA
HSN.CRM.DMV,Health and Social Needs,Community Crime,Domestic Violence,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table S0101,2018,2024,2026-01-29,https://https://data.census.gov/,NA
HSN.EDU.HDP,Health and Social Needs,Education,Dropout Rate,Iowa Department of Education,Grades 7-12 Dropout by Subgroup,2017,2024,2025-10-20,https://educate.iowa.gov/pk-12/data/education-statistics/graduation-dropout-rates,NA
HSN.EDU.ELS,Health and Social Needs,Education,Early Literacy Skills,Iowa Department of Education,"Early Literacy Fall Screening Data, Panorama Student Success",2017,2025,2026-01-30,https://hhs.iowa.gov/initiatives/eci,NA
ECO.CIP.FPL,Economic,Children in Poverty,Federal Poverty Level (FPL),United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B17024,2018,2024,2026-01-29,https://data.census.gov/,NA
ECO.CIP.FPL,Economic,Children in Poverty,Federal Poverty Level (FPL),United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Tables B17020A-I,2018,2024,2026-01-29,https://data.census.gov/,NA
ECO.APP.FPL,Economic,All People in Poverty,Federal Poverty Level (FPL),United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Tables B17020A-I,2018,2024,2026-01-29,https://data.census.gov/,NA
SRV.SER.FST,Services,Human Services,Foster Care,Iowa Department of Health and Human Services,Number of Children in Foster Care by Age Group,2018,2024,2026-01-23,https://hhs.iowa.gov/about/open-records,NA
ECO.CIP.FRL,Economic,Children in Poverty,Free or Reduced Price Lunch (FRPL),Iowa Department of Education,Number of K-12 Students Eligible For free Or Reduced-Price Lunch Enrolled in the School,2018,2024,2025-09-16,https://www.iaschoolperformance.gov/ECP/Home/Index,NA
SRV.SER.HCC,Services,Human Services,Health Coverage,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B27001,2018,2024,2026-01-29,https://data.census.gov/,NA
SRV.SER.HCC,Services,Human Services,Health Coverage,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B27016,2018,2024,2026-01-29,https://data.census.gov/,NA
DEM.HSE.TYP,Demographic,Household Characteristics,Household Type,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B09002,2018,2024,2026-01-29,https://data.census.gov/,NA
HSN.CHL.IMM,Health and Social Needs,Child Health,Immunizations,Iowa Department of Public Health,Number of Children with Certificate of Immunization,2018,2024,2025-09-29,https://hhs.iowa.gov/health-prevention/vaccines-immunizations,NA
